11 5301
-77.444423339 37.4806268374 dark-orange
-76.2984107852 36.8693718682 web-green
-76.5049507962 36.7486665153 web-green
-76.6323896842 36.7137557065 web-green
-79.8984907073 37.2930014976 dark-magenta
-79.9433566144 37.2708318159 dark-magenta
-79.9598597156 37.2882402119 dark-magenta
-79.9307349647 37.2710497222 dark-magenta
-76.5825008798 36.7229362377 web-green
-77.4485435544 37.5887760211 dark-orange
-77.4087645975 37.549877155 web-blue
-76.2184928781 36.8526290839 dark-yellow
-77.1113347173 38.8839352508 dark-cyan
-77.1097899975 38.8811233903 dark-cyan
-77.0859478284 38.8898280993 dark-cyan
-77.08438387 38.8951515517 dark-cyan
-78.4846874309 38.0254951973 red
-78.5051285441 38.0508476867 red
-77.2024514408 37.045838991 web-blue
-77.2908931952 36.8954681214 web-blue
-80.5509968831 37.138070659 dark-spring-green
-76.4341083968 37.0873636248 web-green
-77.1153202223 38.833944251 dark-cyan
-77.125691807 38.8081398041 dark-cyan
-77.1192832138 38.8081262463 dark-cyan
-77.5060705943 39.0315629378 royalblue
-77.5299292134 38.9286903612 royalblue
-77.4269967694 38.9983075331 royalblue
-77.5064168107 39.0673985763 royalblue
-77.5090690694 39.022636396 royalblue
-77.5065601687 39.0116309436 royalblue
-77.4721264105 39.0530114597 royalblue
-77.4807401028 39.0327470972 royalblue
-77.4728759299 39.0817491692 royalblue
-76.5581486777 37.1447953423 web-blue
-76.5132517536 37.1122035832 web-green
-79.8282121673 37.8213445759 dark-magenta
-79.8059660834 37.821681668 dark-magenta
-77.4782231617 39.0611716009 royalblue
-77.7059071757 39.1408036542 royalblue
-77.4619569012 39.0389572012 royalblue
-77.1133104823 38.8282948861 dark-cyan
-77.1268711286 38.810085428 dark-cyan
-78.8732480073 38.4204453522 red
-76.4930918479 37.0963590349 web-green
-76.5603304381 37.1621427674 web-blue
-79.0112500386 38.0291020632 red
-78.5911127171 38.416945203 red
-77.1056658102 38.8719759731 dark-cyan
-77.0762105106 38.8466242368 dark-cyan
-77.0973118335 38.8496998666 dark-cyan
